,accuracy,false_negatives_1,loss,precision_1,recall_1,true_positives_1,val_accuracy,val_false_negatives_1,val_loss,val_precision_1,val_recall_1,val_true_positives_1
0,0.9368271231651306,472.0,0.1679854840040207,0.9428848028182983,0.9252691864967346,5844.0,0.9692898392677307,19.0,0.08521196991205215,0.9747572541236877,0.9635316729545593,502.0
1,0.9559847712516785,327.0,0.12089037895202637,0.9606993794441223,0.9482267498970032,5989.0,0.9635316729545593,21.0,0.0999426618218422,0.9689922332763672,0.9596928954124451,500.0
2,0.9658011198043823,277.0,0.0991717204451561,0.970900297164917,0.9561431407928467,6039.0,0.9712092280387878,17.0,0.08688352257013321,0.9805447459220886,0.9673704504966736,504.0
3,0.9683343768119812,261.0,0.0863267034292221,0.9750402569770813,0.9586763978004456,6055.0,0.9692898392677307,22.0,0.08017726242542267,0.976516604423523,0.9577735066413879,499.0
4,0.9730842113494873,229.0,0.0749153420329094,0.9792470932006836,0.9637428522109985,6087.0,0.9750480055809021,17.0,0.07261426001787186,0.9805447459220886,0.9673704504966736,504.0
5,0.9779924154281616,210.0,0.06322775781154633,0.9843624234199524,0.9667510986328125,6106.0,0.9769673943519592,18.0,0.06017216667532921,0.9862744808197021,0.9654510617256165,503.0
6,0.9830588698387146,160.0,0.04895486310124397,0.9874879717826843,0.974667489528656,6156.0,0.973128616809845,22.0,0.08031366765499115,0.9784313440322876,0.9577735066413879,499.0
7,0.9822672605514526,169.0,0.04730600491166115,0.9879459738731384,0.9732425808906555,6147.0,0.9750480055809021,19.0,0.06748484820127487,0.9843137264251709,0.9635316729545593,502.0
8,0.9825839400291443,172.0,0.05006737634539604,0.9879401922225952,0.9727675914764404,6144.0,0.9808061122894287,18.0,0.07458477467298508,0.9862744808197021,0.9654510617256165,503.0
9,0.9873337745666504,132.0,0.03627149760723114,0.9915023446083069,0.9791007041931152,6184.0,0.9712092280387878,20.0,0.08231207728385925,0.980430543422699,0.9616122841835022,501.0
10,0.9859088063240051,130.0,0.04405326768755913,0.990393877029419,0.9794173240661621,6186.0,0.9750480055809021,18.0,0.06963956356048584,0.982421875,0.9654510617256165,503.0
