,accuracy,false_negatives_4,loss,precision_4,recall_4,true_positives_4,val_accuracy,val_false_negatives_4,val_loss,val_precision_4,val_recall_4,val_true_positives_4
0,0.879987359046936,1202.0,0.2842807173728943,0.884010374546051,0.8096897006034851,5114.0,0.8406909704208374,133.0,0.35999029874801636,0.8899082541465759,0.7447217106819153,388.0
1,0.9290690422058105,650.0,0.18525217473506927,0.9253633618354797,0.8970867395401001,5666.0,0.8464491367340088,112.0,0.35238033533096313,0.8795698881149292,0.7850288152694702,409.0
2,0.9395186901092529,514.0,0.15344223380088806,0.9408140182495117,0.9186193943023682,5802.0,0.917466402053833,68.0,0.20587953925132751,0.9320987462997437,0.8694817423820496,453.0
3,0.9526599049568176,348.0,0.12938110530376434,0.9431099891662598,0.9449018239974976,5968.0,0.9213051795959473,43.0,0.16444481909275055,0.9317739009857178,0.917466402053833,478.0
4,0.955826461315155,258.0,0.12440785765647888,0.9335799217224121,0.9591513872146606,6058.0,0.9366602897644043,39.0,0.1370338499546051,0.94140625,0.9251439571380615,482.0
5,0.9556681513786316,251.0,0.11585338413715363,0.9382734894752502,0.9602596759796143,6065.0,0.973128616809845,15.0,0.06635983288288116,0.9825242757797241,0.9712092280387878,506.0
6,0.9539265632629395,278.0,0.1178855374455452,0.9421126246452332,0.9559847712516785,6038.0,0.973128616809845,20.0,0.06471866369247437,0.9766082167625427,0.9616122841835022,501.0
7,0.960101306438446,262.0,0.10796725004911423,0.9521862268447876,0.9585180282592773,6054.0,0.9654510617256165,19.0,0.08236006647348404,0.9672446846961975,0.9635316729545593,502.0
8,0.9613679647445679,223.0,0.10120035707950592,0.9486221671104431,0.9646928310394287,6093.0,0.9769673943519592,14.0,0.057210978120565414,0.9768785834312439,0.973128616809845,507.0
9,0.9645345211029053,213.0,0.09488677233457565,0.951660692691803,0.9662761092185974,6103.0,0.9712092280387878,16.0,0.07539048045873642,0.967432975769043,0.9692898392677307,505.0
10,0.967384397983551,230.0,0.08713826537132263,0.9628223180770874,0.9635845422744751,6086.0,0.973128616809845,17.0,0.06320693343877792,0.9729729890823364,0.9673704504966736,504.0
11,0.9686510562896729,221.0,0.08504808694124222,0.9643987417221069,0.9650095105171204,6095.0,0.9750480055809021,17.0,0.06901836395263672,0.9824561476707458,0.9673704504966736,504.0
