,accuracy,false_negatives,loss,precision,recall,true_positives,val_accuracy,val_false_negatives,val_loss,val_precision,val_recall,val_true_positives
0,0.9170361161231995,377.0,0.20329450070858002,0.8768640160560608,0.9403102993965149,5939.0,0.944337785243988,18.0,0.16498562693595886,0.9212453961372375,0.9654510617256165,503.0
1,0.9507599472999573,288.0,0.13258102536201477,0.9354438185691833,0.9544014930725098,6028.0,0.9232245683670044,32.0,0.2093445360660553,0.9089219570159912,0.9385796785354614,489.0
2,0.952343225479126,232.0,0.12290248274803162,0.9329857230186462,0.9632678627967834,6084.0,0.9673704504966736,13.0,0.09666328877210617,0.949532687664032,0.9750480055809021,508.0
3,0.9577264189720154,160.0,0.11227593570947647,0.9294881224632263,0.974667489528656,6156.0,0.9558541178703308,14.0,0.10887511074542999,0.9371533989906311,0.973128616809845,507.0
4,0.9620012640953064,166.0,0.09960687160491943,0.9432515501976013,0.9737175703048706,6150.0,0.9712092280387878,14.0,0.0665348693728447,0.9712643623352051,0.973128616809845,507.0
5,0.9613679647445679,224.0,0.09699911624193192,0.9535138607025146,0.9645345211029053,6092.0,0.9692898392677307,13.0,0.07556042820215225,0.9657794833183289,0.9750480055809021,508.0
6,0.96310955286026,157.0,0.09670756012201309,0.9426078796386719,0.9751424789428711,6159.0,0.9289827346801758,24.0,0.16902831196784973,0.9136029481887817,0.9539347290992737,497.0
7,0.9635845422744751,162.0,0.09687389433383942,0.9463324546813965,0.9743508696556091,6154.0,0.9827255010604858,7.0,0.050880588591098785,0.9734848737716675,0.9865642786026001,514.0
8,0.96310955286026,126.0,0.09453870356082916,0.9391594529151917,0.9800506830215454,6190.0,0.9692898392677307,14.0,0.08398851007223129,0.9657142758369446,0.973128616809845,507.0
9,0.9675427675247192,122.0,0.08807002753019333,0.9456488490104675,0.9806839823722839,6194.0,0.9788867831230164,9.0,0.05148586630821228,0.9752380847930908,0.9827255010604858,512.0
10,0.9667510986328125,182.0,0.08690566569566727,0.9602379202842712,0.9711843132972717,6134.0,0.9750480055809021,16.0,0.053979989141225815,0.9824903011322021,0.9692898392677307,505.0
11,0.9699176549911499,224.0,0.09018217772245407,0.9692919850349426,0.9645345211029053,6092.0,0.9635316729545593,19.0,0.10546821355819702,0.9653846025466919,0.9635316729545593,502.0
12,0.9735592007637024,148.0,0.07532082498073578,0.9646543860435486,0.9765674471855164,6168.0,0.9654510617256165,17.0,0.09692459553480148,0.9563567638397217,0.9673704504966736,504.0
13,0.9705509543418884,195.0,0.07656509429216385,0.9706628322601318,0.9691260457038879,6121.0,0.9712092280387878,18.0,0.07750401645898819,0.9710424542427063,0.9654510617256165,503.0
