,accuracy,false_negatives,loss,precision,recall,true_positives,val_accuracy,val_false_negatives,val_loss,val_precision,val_recall,val_true_positives
0,0.9026282429695129,615.0,0.23711128532886505,0.9026282429695129,0.9026282429695129,5701.0,0.8272552490234375,90.0,0.3733613193035126,0.8272552490234375,0.8272552490234375,431.0
1,0.9418935775756836,367.0,0.15126872062683105,0.9418935775756836,0.9418935775756836,5949.0,0.8483685255050659,79.0,0.32919439673423767,0.8483685255050659,0.8483685255050659,442.0
2,0.9536098837852478,293.0,0.12326361984014511,0.9536098837852478,0.9536098837852478,6023.0,0.890595018863678,57.0,0.24099281430244446,0.890595018863678,0.890595018863678,464.0
3,0.9559847712516785,278.0,0.10884065181016922,0.9559847712516785,0.9559847712516785,6038.0,0.9654510617256165,18.0,0.10324975848197937,0.9654510617256165,0.9654510617256165,503.0
4,0.9610512852668762,246.0,0.10084939748048782,0.9610512852668762,0.9610512852668762,6070.0,0.9520153403282166,25.0,0.0952233150601387,0.9520153403282166,0.9520153403282166,496.0
5,0.9662761092185974,213.0,0.09013070911169052,0.9662761092185974,0.9662761092185974,6103.0,0.9424183964729309,30.0,0.12104679644107819,0.9424183964729309,0.9424183964729309,491.0
6,0.9688093662261963,197.0,0.08294805139303207,0.9688093662261963,0.9688093662261963,6119.0,0.9616122841835022,20.0,0.08088406175374985,0.9616122841835022,0.9616122841835022,501.0
7,0.9700760245323181,189.0,0.08119504153728485,0.9700760245323181,0.9700760245323181,6127.0,0.9616122841835022,20.0,0.0967990979552269,0.9616122841835022,0.9616122841835022,501.0
8,0.9745091795921326,161.0,0.07478801906108856,0.9745091795921326,0.9745091795921326,6155.0,0.9596928954124451,21.0,0.09992276132106781,0.9596928954124451,0.9596928954124451,500.0
9,0.9762507677078247,150.0,0.0679013803601265,0.9762507677078247,0.9762507677078247,6166.0,0.9596928954124451,21.0,0.08859416097402573,0.9596928954124451,0.9596928954124451,500.0
10,0.9759341478347778,152.0,0.06817320734262466,0.9759341478347778,0.9759341478347778,6164.0,0.9500959515571594,26.0,0.11844608187675476,0.9500959515571594,0.9500959515571594,495.0
11,0.9751424789428711,157.0,0.067220538854599,0.9751424789428711,0.9751424789428711,6159.0,0.9520153403282166,25.0,0.11578384786844254,0.9520153403282166,0.9520153403282166,496.0
12,0.9816339612007141,116.0,0.05274418368935585,0.9816339612007141,0.9816339612007141,6200.0,0.973128616809845,14.0,0.06989498436450958,0.973128616809845,0.973128616809845,507.0
13,0.9786257147789001,135.0,0.057185739278793335,0.9786257147789001,0.9786257147789001,6181.0,0.9673704504966736,17.0,0.09900244325399399,0.9673704504966736,0.9673704504966736,504.0
14,0.9830588698387146,107.0,0.049640290439128876,0.9830588698387146,0.9830588698387146,6209.0,0.9577735066413879,22.0,0.09591636061668396,0.9577735066413879,0.9577735066413879,499.0
15,0.9797340035438538,128.0,0.05005515739321709,0.9797340035438538,0.9797340035438538,6188.0,0.9750480055809021,13.0,0.07993083447217941,0.9750480055809021,0.9750480055809021,508.0
16,0.981950581073761,114.0,0.049109555780887604,0.981950581073761,0.981950581073761,6202.0,0.9500959515571594,26.0,0.1153937503695488,0.9500959515571594,0.9500959515571594,495.0
17,0.9800506830215454,126.0,0.04794826731085777,0.9800506830215454,0.9800506830215454,6190.0,0.973128616809845,14.0,0.074359230697155,0.973128616809845,0.973128616809845,507.0
18,0.984167218208313,100.0,0.04254869371652603,0.984167218208313,0.984167218208313,6216.0,0.9616122841835022,20.0,0.12636840343475342,0.9616122841835022,0.9616122841835022,501.0
19,0.9870170950889587,82.0,0.0407596118748188,0.9870170950889587,0.9870170950889587,6234.0,0.9673704504966736,17.0,0.11020000278949738,0.9673704504966736,0.9673704504966736,504.0
20,0.9835338592529297,104.0,0.04505764693021774,0.9835338592529297,0.9835338592529297,6212.0,0.9750480055809021,13.0,0.06299622356891632,0.9750480055809021,0.9750480055809021,508.0
21,0.9863837957382202,86.0,0.03754275664687157,0.9863837957382202,0.9863837957382202,6230.0,0.9520153403282166,25.0,0.16458812355995178,0.9520153403282166,0.9520153403282166,496.0
22,0.9865421056747437,85.0,0.04000575467944145,0.9865421056747437,0.9865421056747437,6231.0,0.9692898392677307,16.0,0.12049046903848648,0.9692898392677307,0.9692898392677307,505.0
23,0.9846422076225281,97.0,0.03811102733016014,0.9846422076225281,0.9846422076225281,6219.0,0.9712092280387878,15.0,0.08755483478307724,0.9712092280387878,0.9712092280387878,506.0
24,0.9859088063240051,89.0,0.03756840527057648,0.9859088063240051,0.9859088063240051,6227.0,0.9692898392677307,16.0,0.0777093693614006,0.9692898392677307,0.9692898392677307,505.0
25,0.9920836091041565,50.0,0.02494991011917591,0.9920836091041565,0.9920836091041565,6266.0,0.984644889831543,8.0,0.055497825145721436,0.984644889831543,0.984644889831543,513.0
26,0.9871754050254822,81.0,0.03361371159553528,0.9871754050254822,0.9871754050254822,6235.0,0.9692898392677307,16.0,0.13554857671260834,0.9692898392677307,0.9692898392677307,505.0
27,0.9873337745666504,80.0,0.03359019383788109,0.9873337745666504,0.9873337745666504,6236.0,0.9673704504966736,17.0,0.12873288989067078,0.9673704504966736,0.9673704504966736,504.0
28,0.988442063331604,73.0,0.033362146466970444,0.988442063331604,0.988442063331604,6243.0,0.9654510617256165,18.0,0.11013510823249817,0.9654510617256165,0.9654510617256165,503.0
29,0.989233672618866,68.0,0.028174053877592087,0.989233672618866,0.989233672618866,6248.0,0.9673704504966736,17.0,0.11895804852247238,0.9673704504966736,0.9673704504966736,504.0
