,accuracy,false_negatives_1,loss,precision_1,recall_1,true_positives_1,val_accuracy,val_false_negatives_1,val_loss,val_precision_1,val_recall_1,val_true_positives_1
0,0.9195693731307983,259.0,0.21677197515964508,0.9194175004959106,0.916451632976532,2841.0,0.9654510617256165,13.0,0.08954950422048569,0.9868074059486389,0.9664082527160645,374.0
1,0.9542431831359863,164.0,0.12558837234973907,0.9591636657714844,0.9470967650413513,2936.0,0.9673704504966736,12.0,0.08207456022500992,0.9868420958518982,0.9689922332763672,375.0
2,0.9670677781105042,128.0,0.1011553630232811,0.9737876653671265,0.9587096571922302,2972.0,0.9750480055809021,9.0,0.08051789551973343,0.9895287752151489,0.9767441749572754,378.0
3,0.967384397983551,117.0,0.0916915014386177,0.9710286259651184,0.9622580409049988,2983.0,0.973128616809845,10.0,0.07772167772054672,0.9895012974739075,0.9741601943969727,377.0
4,0.9745091795921326,98.0,0.07597948610782623,0.9794453382492065,0.9683870673179626,3002.0,0.9673704504966736,15.0,0.09664015471935272,0.9946523904800415,0.961240291595459,372.0
5,0.9753008484840393,83.0,0.0697384923696518,0.97637540102005,0.9732258319854736,3017.0,0.9788867831230164,8.0,0.07244671881198883,0.9921466112136841,0.9793281555175781,379.0
6,0.9783090353012085,75.0,0.06720015406608582,0.9799157977104187,0.975806474685669,3025.0,0.9750480055809021,7.0,0.0697079673409462,0.984455943107605,0.9819121360778809,380.0
7,0.9813172817230225,69.0,0.05957334116101265,0.9840909242630005,0.9777419567108154,3031.0,0.9673704504966736,11.0,0.06804812699556351,0.9842932224273682,0.9715762138366699,376.0
8,0.9830588698387146,59.0,0.053424570709466934,0.9844610095024109,0.9809677600860596,3041.0,0.9577735066413879,18.0,0.11037862300872803,0.989276111125946,0.9534883499145508,369.0
9,0.984958827495575,54.0,0.044827837496995926,0.986718475818634,0.9825806617736816,3046.0,0.9673704504966736,14.0,0.10808724910020828,0.9920212626457214,0.9638242721557617,373.0
10,0.9870170950889587,50.0,0.04033978655934334,0.989617109298706,0.9838709831237793,3050.0,0.9712092280387878,9.0,0.0858476534485817,0.984375,0.9767441749572754,378.0
11,0.9863837957382202,46.0,0.039458516985177994,0.9870717525482178,0.985161304473877,3054.0,0.9712092280387878,13.0,0.11484479904174805,0.9946808218955994,0.9664082527160645,374.0
12,0.9898670315742493,39.0,0.03230961784720421,0.9918988943099976,0.9874193668365479,3061.0,0.9712092280387878,12.0,0.10402636975049973,0.9920634627342224,0.9689922332763672,375.0
13,0.9903419613838196,34.0,0.028978032991290092,0.9912706017494202,0.9890322685241699,3066.0,0.973128616809845,9.0,0.06754808872938156,0.9869451522827148,0.9767441749572754,378.0
14,0.9908169507980347,38.0,0.028655746951699257,0.9935107231140137,0.9877419471740723,3062.0,0.9788867831230164,10.0,0.08747313171625137,0.9973545074462891,0.9741601943969727,377.0
15,0.9893920421600342,36.0,0.028178442269563675,0.989983856678009,0.9883871078491211,3064.0,0.9808061122894287,8.0,0.06421347707509995,0.9947506785392761,0.9793281555175781,379.0
16,0.9901836514472961,36.0,0.02782241627573967,0.9915857315063477,0.9883871078491211,3064.0,0.9712092280387878,12.0,0.08166708797216415,0.9920634627342224,0.9689922332763672,375.0
17,0.991450309753418,32.0,0.02426915429532528,0.9928802847862244,0.9896774291992188,3068.0,0.9788867831230164,8.0,0.07195054739713669,0.9921466112136841,0.9793281555175781,379.0
18,0.9935085773468018,26.0,0.01999763213098049,0.9951440691947937,0.9916129112243652,3074.0,0.973128616809845,10.0,0.08517900854349136,0.9895012974739075,0.9741601943969727,377.0
19,0.9924002289772034,25.0,0.021348649635910988,0.9925758838653564,0.9919354915618896,3075.0,0.9712092280387878,10.0,0.09307444095611572,0.9869109988212585,0.9741601943969727,377.0
20,0.9935085773468018,26.0,0.021112870424985886,0.9951440691947937,0.9916129112243652,3074.0,0.973128616809845,9.0,0.0701000764966011,0.9869451522827148,0.9767441749572754,378.0
21,0.9930335879325867,24.0,0.02160385251045227,0.9935400485992432,0.9922580718994141,3076.0,0.973128616809845,13.0,0.11266244202852249,0.9973333477973938,0.9664082527160645,374.0
22,0.9936668872833252,26.0,0.020560046657919884,0.9954662919044495,0.9916129112243652,3074.0,0.9769673943519592,9.0,0.07720417529344559,0.9921259880065918,0.9767441749572754,378.0
23,0.9936668872833252,19.0,0.01861105114221573,0.9932301640510559,0.9938709735870361,3081.0,0.9692898392677307,15.0,0.1344376653432846,0.9973190426826477,0.961240291595459,372.0
24,0.9939835071563721,23.0,0.016862211748957634,0.995148777961731,0.9925806522369385,3077.0,0.973128616809845,12.0,0.08523779362440109,0.9946949481964111,0.9689922332763672,375.0
25,0.9944584965705872,16.0,0.014714740216732025,0.9938768744468689,0.9948387145996094,3084.0,0.9750480055809021,10.0,0.10174262523651123,0.99210524559021,0.9741601943969727,377.0
26,0.992716908454895,28.0,0.018473438918590546,0.9941747784614563,0.9909677505493164,3072.0,0.9692898392677307,12.0,0.0954032838344574,0.9894459247589111,0.9689922332763672,375.0
27,0.9954084753990173,17.0,0.014523271471261978,0.9961227774620056,0.994516134262085,3083.0,0.973128616809845,13.0,0.09694913774728775,0.9973333477973938,0.9664082527160645,374.0
28,0.9963584542274475,13.0,0.010134869255125523,0.9967710971832275,0.9958064556121826,3087.0,0.9769673943519592,8.0,0.07301642745733261,0.9895561337471008,0.9793281555175781,379.0
29,0.9946168661117554,17.0,0.01382384542375803,0.994516134262085,0.994516134262085,3083.0,0.9808061122894287,5.0,0.07482972741127014,0.9870800971984863,0.9870800971984863,382.0
