,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.908437192440033,382.0,382.0,0.22717654705047607,0.908437192440033,0.908437192440033,3790.0,3790.0,0.9193857908248901,42.0,42.0,0.20338892936706543,0.9193857908248901,0.9193857908248901,479.0,479.0
1,0.9201821684837341,333.0,333.0,0.21704238653182983,0.9201821684837341,0.9201821684837341,3839.0,3839.0,0.9673704504966736,17.0,17.0,0.15275661647319794,0.9673704504966736,0.9673704504966736,504.0,504.0
2,0.9379194378852844,259.0,259.0,0.2546541392803192,0.9379194378852844,0.9379194378852844,3913.0,3913.0,0.9385796785354614,32.0,32.0,0.18016192317008972,0.9385796785354614,0.9385796785354614,489.0,489.0
3,0.9336050152778625,277.0,277.0,0.3155575692653656,0.9336050152778625,0.9336050152778625,3895.0,3895.0,0.5681381821632385,225.0,225.0,0.5565823912620544,0.5681381821632385,0.5681381821632385,296.0,296.0
4,0.8175934553146362,761.0,761.0,0.3933771848678589,0.8175934553146362,0.8175934553146362,3411.0,3411.0,0.9251439571380615,39.0,39.0,0.19296492636203766,0.9251439571380615,0.9251439571380615,482.0,482.0
5,0.9151486158370972,354.0,354.0,0.2630542814731598,0.9151486158370972,0.9151486158370972,3818.0,3818.0,0.9673704504966736,17.0,17.0,0.14905327558517456,0.9673704504966736,0.9673704504966736,504.0,504.0
6,0.9146692156791687,356.0,356.0,0.2286376804113388,0.9146692156791687,0.9146692156791687,3816.0,3816.0,0.9289827346801758,37.0,37.0,0.18799498677253723,0.9289827346801758,0.9289827346801758,484.0,484.0
7,0.9386385679244995,256.0,256.0,0.1772473156452179,0.9386385679244995,0.9386385679244995,3916.0,3916.0,0.9712092280387878,15.0,15.0,0.1422577053308487,0.9712092280387878,0.9712092280387878,506.0,506.0
8,0.9101150631904602,375.0,375.0,0.23152673244476318,0.9101150631904602,0.9101150631904602,3797.0,3797.0,0.8790786862373352,63.0,63.0,0.237961545586586,0.8790786862373352,0.8790786862373352,458.0,458.0
9,0.9060402512550354,392.0,392.0,0.20981250703334808,0.9060402512550354,0.9060402512550354,3780.0,3780.0,0.944337785243988,29.0,29.0,0.16932232677936554,0.944337785243988,0.944337785243988,492.0,492.0
10,0.9623681902885437,157.0,157.0,0.14915220439434052,0.9623681902885437,0.9623681902885437,4015.0,4015.0,0.9827255010604858,9.0,9.0,0.21692383289337158,0.9827255010604858,0.9827255010604858,512.0,512.0
11,0.9247363209724426,314.0,314.0,0.2226148545742035,0.9247363209724426,0.9247363209724426,3858.0,3858.0,0.9232245683670044,40.0,40.0,0.190207839012146,0.9232245683670044,0.9232245683670044,481.0,481.0
12,0.9336050152778625,277.0,277.0,0.22166725993156433,0.9336050152778625,0.9336050152778625,3895.0,3895.0,0.8310940265655518,88.0,88.0,0.29043057560920715,0.8310940265655518,0.8310940265655518,433.0,433.0
13,0.8861457109451294,475.0,475.0,0.23039081692695618,0.8861457109451294,0.8861457109451294,3697.0,3697.0,0.9347409009933472,34.0,34.0,0.17745861411094666,0.9347409009933472,0.9347409009933472,487.0,487.0
14,0.9165867567062378,348.0,348.0,0.22518719732761383,0.9165867567062378,0.9165867567062378,3824.0,3824.0,0.9520153403282166,25.0,25.0,0.15628710389137268,0.9520153403282166,0.9520153403282166,496.0,496.0
15,0.926174521446228,308.0,308.0,0.19261384010314941,0.926174521446228,0.926174521446228,3864.0,3864.0,0.9193857908248901,42.0,42.0,0.19184742867946625,0.9193857908248901,0.9193857908248901,479.0,479.0
16,0.9331256151199341,279.0,279.0,0.17649595439434052,0.9331256151199341,0.9331256151199341,3893.0,3893.0,0.9539347290992737,24.0,24.0,0.15317238867282867,0.9539347290992737,0.9539347290992737,497.0,497.0
17,0.951102614402771,204.0,204.0,0.1548878401517868,0.951102614402771,0.951102614402771,3968.0,3968.0,0.9673704504966736,17.0,17.0,0.1355598419904709,0.9673704504966736,0.9673704504966736,504.0,504.0
18,0.9345637559890747,273.0,273.0,0.3241204619407654,0.9345637559890747,0.9345637559890747,3899.0,3899.0,0.8483685255050659,79.0,79.0,0.2727092504501343,0.8483685255050659,0.8483685255050659,442.0,442.0
19,0.9077181220054626,385.0,385.0,0.2040797472000122,0.9077181220054626,0.9077181220054626,3787.0,3787.0,0.9654510617256165,18.0,18.0,1.0280632972717285,0.9654510617256165,0.9654510617256165,503.0,503.0
