,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9223393797874451,324.0,324.0,0.2812643051147461,0.9223393797874451,0.9223393797874451,3848.0,3848.0,0.9788867831230164,11.0,11.0,0.23962722718715668,0.9788867831230164,0.9788867831230164,510.0,510.0
1,0.9218600392341614,326.0,326.0,0.25957563519477844,0.9218600392341614,0.9218600392341614,3846.0,3846.0,0.9673704504966736,17.0,17.0,0.20030182600021362,0.9673704504966736,0.9673704504966736,504.0,504.0
2,0.9451102614402771,229.0,229.0,0.22238704562187195,0.9451102614402771,0.9451102614402771,3943.0,3943.0,0.9750480055809021,13.0,13.0,0.49334728717803955,0.9750480055809021,0.9750480055809021,508.0,508.0
3,0.926174521446228,308.0,308.0,0.22584013640880585,0.926174521446228,0.926174521446228,3864.0,3864.0,0.9692898392677307,16.0,16.0,0.35345086455345154,0.9692898392677307,0.9692898392677307,505.0,505.0
4,0.88350909948349,486.0,486.0,0.2891768217086792,0.88350909948349,0.88350909948349,3686.0,3686.0,0.944337785243988,29.0,29.0,0.2058085799217224,0.944337785243988,0.944337785243988,492.0,492.0
5,0.8180728554725647,759.0,759.0,0.37142783403396606,0.8180728554725647,0.8180728554725647,3413.0,3413.0,0.9827255010604858,9.0,9.0,0.525058925151825,0.9827255010604858,0.9827255010604858,512.0,512.0
6,0.9048417806625366,397.0,397.0,0.2551901340484619,0.9048417806625366,0.9048417806625366,3775.0,3775.0,0.9155470132827759,44.0,44.0,0.22565098106861115,0.9155470132827759,0.9155470132827759,477.0,477.0
7,0.9058005809783936,393.0,393.0,0.24325084686279297,0.9058005809783936,0.9058005809783936,3779.0,3779.0,0.9654510617256165,18.0,18.0,0.3083992004394531,0.9654510617256165,0.9654510617256165,503.0,503.0
8,0.9244966506958008,315.0,315.0,0.2469795197248459,0.9244966506958008,0.9244966506958008,3857.0,3857.0,0.9251439571380615,39.0,39.0,0.21363158524036407,0.9251439571380615,0.9251439571380615,482.0,482.0
9,0.9254553914070129,311.0,311.0,0.23260903358459473,0.9254553914070129,0.9254553914070129,3861.0,3861.0,0.890595018863678,57.0,57.0,0.24094748497009277,0.890595018863678,0.890595018863678,464.0,464.0
10,0.9007670283317566,414.0,414.0,0.2807537317276001,0.9007670283317566,0.9007670283317566,3758.0,3758.0,0.973128616809845,14.0,14.0,0.347152441740036,0.973128616809845,0.973128616809845,507.0,507.0
11,0.9388782382011414,255.0,255.0,0.2021215409040451,0.9388782382011414,0.9388782382011414,3917.0,3917.0,0.9539347290992737,24.0,24.0,0.18555325269699097,0.9539347290992737,0.9539347290992737,497.0,497.0
12,0.938159167766571,258.0,258.0,0.22697106003761292,0.938159167766571,0.938159167766571,3914.0,3914.0,0.9117082357406616,46.0,46.0,0.21990549564361572,0.9117082357406616,0.9117082357406616,475.0,475.0
13,0.9412751793861389,245.0,245.0,0.20210155844688416,0.9412751793861389,0.9412751793861389,3927.0,3927.0,0.9155470132827759,44.0,44.0,0.2139049470424652,0.9155470132827759,0.9155470132827759,477.0,477.0
14,0.8839884996414185,484.0,484.0,0.2968640625476837,0.8839884996414185,0.8839884996414185,3688.0,3688.0,0.8963531851768494,54.0,54.0,0.22906269133090973,0.8963531851768494,0.8963531851768494,467.0,467.0
15,0.9223393797874451,324.0,324.0,0.22704707086086273,0.9223393797874451,0.9223393797874451,3848.0,3848.0,0.973128616809845,14.0,14.0,0.28736305236816406,0.973128616809845,0.973128616809845,507.0,507.0
16,0.9436721205711365,235.0,235.0,0.20589151978492737,0.9436721205711365,0.9436721205711365,3937.0,3937.0,0.9596928954124451,21.0,21.0,0.1691894382238388,0.9596928954124451,0.9596928954124451,500.0,500.0
17,0.9209012389183044,330.0,330.0,0.23390929400920868,0.9209012389183044,0.9209012389183044,3842.0,3842.0,0.9500959515571594,26.0,26.0,0.17640982568264008,0.9500959515571594,0.9500959515571594,495.0,495.0
18,0.9367210268974304,264.0,264.0,0.19234289228916168,0.9367210268974304,0.9367210268974304,3908.0,3908.0,0.8925144076347351,56.0,56.0,0.22860974073410034,0.8925144076347351,0.8925144076347351,465.0,465.0
19,0.9379194378852844,259.0,259.0,0.18496106564998627,0.9379194378852844,0.9379194378852844,3913.0,3913.0,0.9769673943519592,12.0,12.0,0.4593870937824249,0.9769673943519592,0.9769673943519592,509.0,509.0
